S.No,Title,Date,Time,Venue,Room/Hall,Speakers,Description,Knowledge Partners
115,AI for India's Next Billion: Intergenerational Insights for Inclusive and Future-Ready Growth,17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 9,"Amandeep Singh Gill, United Nations; Amitabh Kant, NITI Aayog, GoI; Arunabha Ghosh, CEEW; Awais Ahmed, Pixxel Space Technologies; Claire Melamed, UN  Foundation; Kunalika Gautam, UN  Foundation; Ruchira Goyal, Sustainable Food  Systems; Safiya Husain, Karya; Vishal Tripathi, CEEW","AI is rapidly reshaping economies, public services, and governance. As the global population 
approaches 10 billion people by the next century, the stakes are uniquely high for the countries 
across Asia and Africa that will host many of the world's next billion people. Choices made today will 
shape the lives of those young people, and determine whether AI becomes a force for shared 
prosperity and public trust, or deepens inequality and power imbalances for generations.",United Nations Foundation
116,"Building a Trusted and Resilient AI Infrastructure Ecosystem: Balancing Innovation, Security, and Rights",17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,West Wing Room No. 6,"Ankit Bose, Nasscom; Mr. Chengetai Masango, United Nations Secretariat of the Internet Governance Forum - Intergovernmental Organisation; Mr. Raju Vegesna, Sify - Industry; Ms. Amrita Choudhury, CCAOI - Civil Society; Ms. Shahana Chaterji, Public Policy and Regulatory Affairs, Shardul Amarchand Mangaldas & Co - Legal; Rishikesh Kanegaonkar, Nayara Energy","This panel will examine principles and infrastructure for a secure, trusted AI ecosystem. It will showcase global and Indian best practices in governance, transparency, and accountability, while exploring how policy frameworks and innovation can responsibly accelerate adoption. Speakers will address challenges such as interoperability gaps, data security, and ethical deployment. The session emphasizes strategies for safe, scalable, resilient, and inclusive AI transformation, balancing innovation with responsible implementation to strengthen trust and sustainability.... Read More",Sify Technologies Limited
117,From Algorithms to Outcomes: Building AI that Works for People,17 Feb 2026,9:30 AM - 10:20 AM,Bharat Mandapam,L2 Audi 2,"Iqbal Dhaliwal, J-PAL; MIT; Michael Kremer, J-PAL & University of Chicago; S. Krishnan, IAS, Ministry of Electronics and Information Technology (MeitY)","This session will kick off the daylong event 'AI For Social Good: Impact That Works', featuring a Nobel laureate, international researchers, members of Indian and international civil society, prominent industry leaders and senior members of the Government of India. This session will feature plenaries and a fireside chat on how research agendas can be aligned with government priorities so that AI adoption and scale-up decisions can be driven by rigorous evidence.",J-PAL
118,"AI for Impact - Global South Forum: Shared Solutions, Shared Futures",17 Feb 2026,9:30 AM - 10:30 AM,Sushma Swaraj Bhavan,Chanakya Auditorium,"Caroline Mbindyo, AMREF; Lacina Kone, Smart Africa; Nakul Jain, Wadhwani AI Global; Robert Opp, UNDP; Sunil Wadhwani, Wadhwani AI","AI for Impact - Global South Forum brings together policymakers, practitioners, and partners to share what works, and what doesn't, in using AI for public good. Informed by dialogues in Kigali and Nairobi, the forum focuses on moving beyond small pilots to solutions that work within real budgets, infrastructure, and capacity. It examines how countries can build reliable systems and highlights practical approaches to scaling AI responsibly, strengthening institutions, and delivering lasting public value.",Wadhwani AI
119,AI for Social Good: Impact that Works,17 Feb 2026,9:30 AM,Bharat Mandapam,L2 Audi 2,Aimee Barnes; Asra Khan; Audrey Lorvo; Azeez Gupta; Becky Faith; Brigitte Hoyer Gosselink; David Yanagizawa-Drott; Dean Karlan; Elizabeth Kelly; Fatema AlMulla,"This day-long research and policy symposium will convene senior policymakers, leading researchers, and practitioners to examine how AI can meaningfully improve public service delivery towards an AI ecosystem that maximises social good. Participants will explore evidence from rigorous impact evaluations of AI innovations applied across education, health, labour, agriculture, governance, and climate – highlighting what works, why it works, and what must change for transparent, fair, and responsible scale-up that delivers sustained real-world impact.... Read More",J-PAL
120,AI Masterclass in Robotics,17 Feb 2026,9:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 17,"Laksh Parthasarthy, Tata Consultancy Services; Naresh Mehta, Tata Consultancy Services","This session, conducted by Tata Consultancy Services, will demonstrate how strategic AI goals can be turned into practical, production-ready solutions for inspection, and autonomous material movement, emphasizing resilient, safe, and compliant deployment at scale. Participants will gain hands-on experience with AI systems, along with industry-specific blueprints and replicable best practices.",Tata Consultancy Services Limited
121,AI Competitiveness and Innovation: From Insight to Action,17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 15,"Graham Brookie, Atlantic Council; Nabiha Syed, Mozilla Foundation; Ruth Berry, Nvidia; Thomas Zacharia, AMD","An overview of the AI competitiveness landscape, examining why speed, coordination, and institutional capacity now define leadership. Senior industry and policy leaders will share brief perspectives on execution barriers, lessons from national strategies, and public-private alignment. The discussion is structured around three key pillars: innovation as a competitive signal, securing AI supply chains and infrastructure, and talent, energy, and government adoption as force multipliers.",Atlantic Council
122,AI for Societal Value: Responsible Innovation Across Healthcare and High-Impact Sectors,17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 14,"Dr. Arif Ahmed Sekh, UiT The Arctic University of Norway; Dr. Gunjan Gupta Govil, Gunjan IVF World and a fertility specialist; Dr. Kiran D. Sekhar, Kiran Fertility Clinics; Dr. Swarupa Mitra, Fortis Medical; Dr. Tanuj Bhatia, SGRR Medical College & SMI Hospital; Prof. Dilip K. Prasad, UiT The Arctic University of Norway","This session explores how artificial intelligence is reshaping healthcare and other high-impact sectors as it moves from research to real-world deployment. It examines pathways for responsible innovation, sustainable commercialization, and long-term societal value, while addressing ethical considerations, regulatory readiness, and trust. Through forward-looking perspectives, the discussion highlights how AI systems can be designed, governed, and scaled to deliver meaningful impact without compromising transparency, fairness, or accountability.... Read More",UiT The Arctic University of Norway
123,Scaling impact from India's Soverign AI and Data,17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 10,"Amit Sheth, IAIRO; Amith Singhee, IBM; Ana Paula Assis, IBM; Rajiv Chetwani, ISRO; Rishi Bal, BharatGen; Sandip Patel, IBM; Shri P S Pradyumna IAS, AP Govt; Shri. Abhishek Singh, IAS, Meity, GoI; Tanvi Lall, People+AI","India and many nations are advancing indigenous generative AI to meet local linguistic, cultural, and governance needs while strengthening technology sovereignty. However, models alone cannot deliver national-scale value. Real impact depends on sovereign infrastructure, robust deployment stacks, clear use-case maturity, scalable architectures, and advanced AI research. This panel examines these critical dependencies and imperatives required to translate indigenous AI capabilities into inclusive, measurable outcomes for citizens, the economy, and public institutions.... Read More",IBM
124,Innovation to Impact: AI as a Public Health Gamechanger,17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 19,"Dr. Bishnu Panigrahi, Fortis Healthcare; Dr. V. K. Paul, NITI Aayog, GoI; Mr. Aman Sharma, GoI; Mr. Bharat Sesha, Philips India; Mr. Harsh Mahajan, Mahajan Imaging & Labs; Mr. Neeraj Jain, PATH; Mr. Nico Schiettekatte, Embassy of the Kingdom of the Netherlands, New Delhi; Mr. Roy Jakobs, Royal Philips; Ms. Anupriya Patel, Ministry of Chemicals and Fertilizers","Health is central to India's socioeconomic progress and a core pillar under AI for Economic Development and Social Good. With strong digital public health infrastructure through ABDM, global IT leadership, and growing AI R&D ecosystems, India is poised to scale AI from innovation to impact. The roundtable ""Innovation to Impact: AI as a Public Health Gamechanger"" will drive actionable pathways across policy, adoption, public–private collaboration, and outcome-driven AI deployment, unlocking economic, social, and health dividends",Philips India Limited
125,AI and India's Economic Growth: Sectoral Impact and the Road Ahead,17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L2 Audi 1,"CA. Anand Prakash Jangid, ajalabs.ai; CA. Charanjot Singh Nanda, The Institute of Chartered Accountants of India; CA. Dayaniwas Sharma, The Institute of Chartered Accountants of India; CA. Harpreet Singh, The Royal Bank of Scotland; CA. Narasimhan Elangovan, InCorp Advisory Services; CA. Prabhaw Kumar Agarwalla, The Institute of Chartered Accountants of India; CA. Prasanna Kumar D, The Institute of Chartered Accountants of India; CA. R. Vittal Raj, The Institute of Chartered Accountants of India; CA. Umesh Sharma, The Institute of Chartered Accountants of India","This session explores AI as a catalyst for India's inclusive economic growth, highlighting its sectoral impact across industry, services, governance, agriculture, finance, healthcare, and MSMEs. It examines how AI enhances productivity, efficiency, and competitiveness while reducing leakages and enabling innovation. The discussion also outlines key challenges, policy linkages, and the evolving role of Chartered Accountants in AI governance, assurance, and value creation.",Institute of Chartered Accountants of India
126,From Algorithms to Outcomes: Building AI that Works for People,17 Feb 2026,9:30 AM - 10:20 AM,Bharat Mandapam,L2 Audi 2,"Iqbal Dhaliwal, J-PAL; MIT; Michael Kremer, J-PAL & University of Chicago; S. Krishnan, IAS, Ministry of Electronics and Information Technology (MeitY)","This session will kick off the daylong event 'AI For Social Good: Impact That Works', featuring a Nobel laureate, international researchers, members of Indian and international civil society, prominent industry leaders and senior members of the Government of India. This session will feature plenaries and a fireside chat on how research agendas can be aligned with government priorities so that AI adoption and scale-up decisions can be driven by rigorous evidence.",J-PAL
127,AI Masterclass in Robotics,17 Feb 2026,9:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 17,"Laksh Parthasarthy, Tata Consultancy Services; Naresh Mehta, Tata Consultancy Services","This session, conducted by Tata Consultancy Services, will demonstrate how strategic AI goals can be turned into practical, production-ready solutions for inspection, and autonomous material movement, emphasizing resilient, safe, and compliant deployment at scale. Participants will gain hands-on experience with AI systems, along with industry-specific blueprints and replicable best practices.",Tata Consultancy Services Limited
128,Mobilizing MDB Financing to Scale High-Impact AI Solutions in Asia,17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 16,"Antonio Zaballos, Asian Development Bank; Arjun Venkatraman, Gates Foundation; Dr J Ganesan, Government of Haryana; Hun Kim, Asian Infrastructure Investment Bank; Mahesh Uttamchandani, World Bank","MDB financing can play a critical role in covering the substantial upfront and ongoing costs of deploying AI for social good (AISG) to achieve the SDGs. However, sustainable and large-scale deployment will require coordinated multisectoral action and support from concessional funders. Additionally, MDBs must adapt their traditional transaction processes to better align with the fast pace of AI innovation and the rapidly evolving needs of social sectors.",The World Bank
129,Safeguarding Children in India's AI Future: Towards Child-Centric AI Policy and Governance,17 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,West Wing Room 4 B,"Akash Pugalia, Teleperformance; Ashish Jaiman, Founder Nedl Labs; Atish Gonsalves, LEGO Education; Chitra Iyer, Space2Grow; Dr. Manish Tiwari, IGPP; Gaurav Aggarwal, iSPIRT Foundation; Maya Shermon, GPAI and Senior Tech & Innovation Advisor (ST&I Attaché), Embassy of Israel in India; N.S. Nappinai, Cyber Saathi; Shireen Vakil, Space2Grow; Uthara Ganesh, Snapchat; Zoe Lambourne, Childlight","As India advances ambitious national AI strategies and positions itself as a global AI leader, the governance choices made today will have long-term 
consequences for children's rights, safety, dignity and development. Children are not merely 'users' 
of AI systems; they are deeply embedded within algorithmic ecosystems that mediate opportunities 
and risks.","Institute for Governance, Policies and Politics, New Delhi"
130,From Human Capital to Cognitive Capital – Positioning India as the Cognitive Capital of the World( Hosted by 1Works),17 Feb 2026,10:00 AM - 11:30 AM,Bharat Mandapam - Expo Area,Hall No. 3 First Floor - Session Hall 4,,"India's AI transformation is shifting work from routine tasks to human-centric roles, emphasizing judgment, coordination with AI, and accountability. The 90-minute flagship session, ""From Human Capital to Cognitive Capital,"" presented by 1Works with Conch Deep Tech Venture Studio & Advancer Corp, explores how trust, skills, and accountability must be re-engineered in AI-augmented systems. Bringing together leaders from public sector, industry, and academia, it positions Cognitive Capital as India's strategic advantage for continuous readiness and human-centric AI adoption.... Read More",1Works
131,AI in Health: Saving Lives at Scale,17 Feb 2026,10:20 AM - 11:20 AM,Bharat Mandapam,L2 Audi 2,"Aimee Barnes, J-PAL; Rob Sherman, Meta; Senthil Kumar, IAS, Ministry of Health & Family Welfare, Govt. of Tamil Nadu; Shahed Alam, Noora Health; Ziad Obermeyer, Berkeley","Can AI innovation help in diagnosing silent heart attacks to deliver measurable health gains for underserved populations at scale? Hear from a leading international researcher, and an expert panel, about how rigorous evidence from randomised evaluations can distinguish promising ideas from solutions, and strengthen health systems. Showcasing on-ground evidence, participants will understand what it takes to make AI work in practice - aligning technology with frontline workflows and governance structures, and generating actionable evidence for sustainable improvements in healthcare delivery.... Read More",J-PAL
132,"Data, People, and Pre-Empting Mass Exclusion: Building Ethical AI as Digital Public Infrastructure",17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 8,"Arpita Kanjilal, Digital Empowerment Foundation; Dr. Bhavani Rao R, UNESCO W4EAISAC; Jayesh Ranjan, IAS, Government of Telangana; Nicolas Miailhe, AI Safety Connect; Osama Manzar, Digital Empowerment Foundation; Paola Galvez Callirgos, Globethics; Ram Papatla, APAC Trust and Safety, Google; Ram Papatla, Google India","This is a focused session examining how AI in public services can unintentionally exclude vulnerable communities and how such risks can be anticipated and mitigated. Anchored in community-centric design and inclusive data governance, the discussion will connect grassroots realities with ethics, policy, and safety perspectives, positioning AI as a transparent, accountable, and people-first Digital Public Infrastructure that enables social empowerment rather than mass exclusion.",Digital Empowerment Foundation
133,Pushing the Frontier of AI in Education,17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,Plenary Hall B,"Dr Shreedhar Vembu, Zoho Corporation; Dr Vibhu Mittal, Inflection AI; Mr Rajan Anandan, Peak XV PArtners; Prof Manindra Agrawal, IIT Kanpur; Prof Manoj Singh Gaur, IIT Jammu; Prof Mitesh Khapra, IIT Madras","At the IndiaAI Impact Summit, the Ministry of Education session presents a structured and integrated view of how AI is being operationalized across Indian education. The session will bring together leadership perspectives across policy interventions, curriculum and pedagogy, higher education transformation, industry collaboration, and AI Centres of Excellence to demonstrate how AI adoption is being translated into institutional and system-level change.""",Ministry of Education
134,"World Café
Cross-Border Applied AI
Joint Research, Innovation and Startup Communities: Turn Expertise into Practical Next Steps for International AI Collaboration.",17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 15,"Alexandra Bech Gjørv, SINTEF, Norway; Anand kamannavar, Applied Ventures; Anil Sharma, Tata Consultancy Services; Pasi Toivanen, Nokia, Finland; Sagar Sen, SINTEF, Oslo, Norway","World Café: Cross-Border Applied AI brings together global researchers, startups, SMEs, policymakers, and industry leaders to turn expertise into action. This interactive session focuses on practical, sovereignty-aware models for international AI collaboration—spanning joint research, innovation, and startup ecosystems. Aligned with the India AI Impact Summit's Sutras and Chakras, the discussion is designed to generate concrete outcomes that directly inform Summit deliberations and enable meaningful, cross-border AI partnerships.",SINTEF AS
135,GenAI Talent Imperative: Building Global Future Workforce,17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 14,"Dr Abhilasha Gaur, SSC Nasscom; Emily Bastedo, ISACA; Indrani Choudhury, Microsoft; Jagdish Mitra, Humanize; Neha Jain, IT & Electronics, GoUP; Nitin Seth, Incedo; Pramod P.J., Meity, GoI; Prof Jai Prakash, AKTU; Prof Jyoti Kumar, IIT Delhi; Prof. Shyam Rath, AICTE; Rishikesh Patnakar, NSDC; Sanjeev Jain, Wipro; Tulika Pandey, Ministry of Electronics & IT, GoI; Vijay Swaminathan, Draup","GenAI Talent Imperative: Building the Global Future Workforce is a high-impact roundtable bringing together leaders from industry, academia, and government to shape the future of AI-ready talent. As Generative AI rapidly transforms roles, skills, and productivity, this session will explore workforce readiness, emerging GenAI skill requirements, and scalable skilling frameworks. Join the dialogue to align policy, education, and industry needs for building a globally competitive, future-ready workforce.",Nasscom  FutureSkills Prime  A MeitY-nasscom Digital Skilling Initiative
136,Scaling Enterprise Transformation - How India Can Leapfrog in the AI Economy,17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L2 Audi 1,"Arpan Sheth, Bain & Company; Chinmaya Sharma, InfoEdge Ventures; Karthik Reddy, Blume Ventures; Mihir Shukla, Automation Anywhere; Sravanth Aluru, Avataar.ai; Tejeshwi Sharma, Peak XV","As AI adoption accelerates, enterprises are realizing that the next wave of transformation looks very different from early hype. This session brings together investors, founders, and transformation leaders to examine where enterprise AI creates real value, where it falls short, how companies can move from pilots to scaled impact, how operating models must evolve for the new ""AI worker,"" and what this means for India Inc's opportunity.",Bain & Company
137,AI-Powered Ports: Reimagining Efficiency and Operations,17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,West Wing Room 4 B,"Dr. Manish Tiwari, IGPP; Mr Rajesh Soundararajan, V.O.C Port Authority; Mr Rajesh Soundararajan, V.O.C Port Authority; Mr Susanta Kumar Purohit, VOCPA; Mr. Dhruv Kotak, J M Baxi Group; Mr. Subrat Tripathy, APSEZ; Mr. T. K. Ramachandran, MoPSW; Ms Aprajita Rana, AZB & Partners; Ms Aprajita Rana, AZB & Partners; Prof. Gaurav Vallabh, Economic Advisory Council to the Prime Minister","The session will examine how AI is redefining ports as intelligent national infrastructure rather than merely operational logistics assets. It will focus on AI's role in enhancing efficiency, resilience, risk management, and governance in the maritime sector, while addressing workforce transition, policy frameworks, and responsible adoption.","Institute for Governance, Policies and Politics, New Delhi"
138,"AI, Innovation and Collaboration: Shaping Resilient Economies",17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 6,"Mr. Abhishek Ranjan, BSES Rajdhani Power Limited (BRPL); Mr. Deepesh Kiran Nanda, Tata Consultancy Services; Mr. Jal Desai, U.S. DOE National Laboratory of the Rockies; Ms. Jaquelin Cochran, U.S. DOE National Laboratory of the Rockies","This panel examines how innovation and collaboration can transform AI data centers into strategic assets for secure, reliable, and affordable power systems. Bringing together hyperscalers, utilities, and public sector leaders from the United States and India, it will explore advances in compute efficiency, cooling, grid integration, and demand flexibility, alongside enabling policy frameworks that strengthen power systems and position AI infrastructure as a catalyst for long-term resilience and economic growth.",U.S. Department of Energy (DOE) National Renewable Energy Laboratory (NREL)
139,From Co-Design to Courtroom: Building a Fair Trial Adviser for Justice Systems,17 Feb 2026,10:30 AM - 11:30 AM,Sushma Swaraj Bhavan,Nalanda Banquet,"Daisy Peterson, Oxford Institute of Technology and Justice; Lodovica Raparelli, Oxford Institute of Technology and Justice; Wassim Hamidouche, Microsoft","This session explores how collaborative, human-centred AI can strengthen fair trial guarantees across justice systems. Drawing on results from a pre-Summit hackathon, it presents a prototype Fair Trial Adviser that delivers transparent, citation-based legal guidance across languages. The discussion will highlight co-design, ethical safeguards, explainability, and inclusive access, alongside emerging guidelines for safe, responsible, and judicial AI.",Oxford Institute of Technology and Justice
140,"Planet-Scale Intelligence for Economic Growth: AgriStack, Climate AI, and Foundational Models for Global Impact",17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,West Wing Room No. 6,"Arun Sharma, Resonia Ltd.; Arun Sharma, Resonia Ltd.; Derick Jose, Accenture; Gaurav Aggarwal, Reliance Jio; Michael TSAN, Dalberg Advisors; Michael TSAN, Dalberg Advisors; Prateep Basu, SatSure; Prateep Basu, SatSure; Suman Chandra Rawat, IAS, Ministry of New and Renewable Energy (MNRE)","This session explores how planet-scale intelligence built on AI, Earth observation and Digital Public Infrastructure can move from pilots to production and reshape real economies. Anchored in India's experience with AgriStack, it examines climate-smart credit, resilient food systems, and risk-informed public spending, with lessons for the Global South. Speakers will discuss foundational Earth models, governance and validation layers, and the public–private architectures needed to make AI a trusted, shared asset for inclusive growth.",SatSure Analytics India Private Limited
141,AI for National Defence,17 Feb 2026,10:30 AM - 11:30 AM,Sushma Swaraj Bhavan,Chanakya Auditorium,"Air Vice Marshal Deepak Joshi, HQ IDS; Dr Chandrika Kaushik, DRDO; Maj. Gen. (R) Sandeep Sharma, Army; ⁠Shri. Sarjan Shah, Shield AI; Suhas Gopinath, Globals","This session brings together senior stakeholders from India's defence ecosystem to explore Secure by Design principles for AI in national defence. Speakers representing the Army, Navy, and Air Force will join participants from the private sector to share operational, strategic, and technological perspectives. The discussion will examine secure AI development, deployment challenges, governance approaches, and cross-sector collaboration to support resilient and mission-ready AI systems for defence applications.",Globals ITES Pvt Ltd.
142,The AI–Energy–Finance Trifecta: Future-Proofing India's Datacenters,17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 10,"Dr. Ashish Kumar Goel, IAS, UPPCL; Jitendra Srivastava, IAS, REC Limited; Mani Khurana, World Bank; MoeZ Cherif, World Bank; Sandeep Bandivdekar, Microsoft | India; Vrushali Gaud, Climate Operations at Google","The session explores how accelerating AI adoption is driving a surge in data center energy demand while also creating new opportunities for efficiency, resilience, and sustainability. It brings together experts to examine the AI–Energy–Finance Trifecta—highlighting renewable integration, intelligent energy management, and innovative financing. The discussion aims to chart collaborative pathways for building green, resilient, and future‑ready data centers aligned with India's digital and net‑zero ambitions.",REC Limited
143,AI for Her: Catalyst Women Leaders Driving Responsible and Inclusive AI,17 Feb 2026,10:30 AM - 11:30 AM,Sushma Swaraj Bhavan,Shakuntalam Banquet,"Ms Anna Roy, NITI Aayog, GoI; Ms Annapurna Vishwanathan, Airbus India & South Asia; Ms Ivana Bartoletti, Wipro Limited; Ms Roma Datta Chobey, Google India; Ms Sandhya Varanasi, Schneider Electric; Ms Sarah E. Kemp, Intel; Ms Sarika Gulyani, FICCI; Ms. Deepti Gaur Mukerjee, Ministry of Corporate Affairs","The session will cover responsible AI frameworks, mitigation of gender and data biases, and the translation of national AI policies into real-world applications across health, education, and social sectors. It will also address access to capital, mentorship, and ecosystem support required to scale women-led AI innovations. Through a moderated panel discussion, global technology leaders, policymakers, and founders will share practical insights on building safe and trusted AI systems while nurturing future women technologists.",FICCI
144,"Model Context Protocol, Open Standards and Data in the Age of Agentic AI",17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 16,"Amanda Brock, OpenUK; Anil Madhavapeddy, Computer Laboratory, University of Cambridge; Anil Madhavapeddy, Cambridge University; James Lovegrove, RedHat; Karan MV, GitHub; Naresh Vyas, TwoCents.ai; Rohit Ghumare, OpenUK; Saiyam Pathak, Kubesimplify; Shivay Lamba, JSNation; Simon Hansford, Civo","This workshop explores how open standards, data governance, and the Model Context Protocol (MCP) are shaping the next generation of agentic AI systems.",OpenUK
145,AI and the State: Policy and Practice in Government,17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 9,"Christine Custis, Partnership on AI (PAI); Gaia Marcus, Ada Lovelace Institute; Jaan Tallinn, Estonia; Prof. Alondra Nelson, Institute for Ethics in AI at the University of Oxford; Rumman Chowdhury,; Stephanie Ifayemi, Partnership on AI (PAI)","The panel will explore how governments can approach AI deployment differently from private sector actors, including how procurement decisions can influence market outcomes in the public interest. It will examine the role of safety research, measurement, evaluation, and community participation in supporting responsible public sector AI deployment. The discussion will also consider how red-teaming, ongoing assessment, and evaluation processes can strengthen transparency and accountability.",AI Policy and Governance Working Group (AIPGWG)
146,Harnessing AI for Equitable and Resilient Health Systems,17 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,West Wing Room 4 A,"Aparnaa Somanathan, World Bank; Geetha Manjunath, Niramai Health Analytix; Kalavathi GV, Siemens Healthineers; Karthik Adapa, WHO-SEARO; Kiran Gopal Vaska, National Health Authority, GoI; Mamta Murthi, The World Bank Group; Pramod Varma, India DPIs; Preetha Reddy, Former UNESCO Assistant Director-General for Social and Human Sciences","This session convenes policymakers, industry, technologists, and public health experts to explore how AI can be responsibly scaled to deliver health system impact. With reference to case studies and innovation platforms, it will examine practical pathways for moving from pilots to sustainable, system-level adoption. The session will explore governance, standards, and ethical considerations for responsible AI adoption and identify pathways for inclusive and equitable AI adoption, particularly in low- and middle-income countries.",The World Bank
147,Cybersecurity Strategy in Era of AI,17 Feb 2026,11:30 AM - 12:30 PM,Sushma Swaraj Bhavan,Chanakya Auditorium,"Dr Huzur Saran, IIT Delhi; Dr Sanjay Bahl, CERT-In; Dr Srikanta Bedathur, IIT Delhi; Dr. Gaurav Gupta MeITY, Meity, GoI; Mohit Joshi, AppSentinels; Rajat Maheshwari, Mastercard","As digital infrastructure drives the global economy, cybercrime costs reach $10.5 trillion annually in 2025, with AI-assisted attacks surging 72%. This panel examines AI-powered defence mechanisms—predictive threat detection, automated response, and machine learning-based assessment—as essential countermeasures. Industry and government leaders will discover strategies for implementing next-generation architectures leveraging AI systems that detect threats faster and reduce breach costs, securing critical infrastructure against evolving cyber threats.... Read More",Mastercard
148,"Responsible AI for Health: Governance, Implementation and Investment Considerations",17 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 19,"Alain Labrique, WHO Headquarters, Geneva; Andreas Reis, WHO; Divleen Jeji, Google for Health; Emily Muller, Wellcome trust; Sameer Pujari, WHO; Suneeta Krishnan, India Country office, Gates Foundation; Sunil Kumar Barnwal, National Health Authority, GoI; Ulrike Till, WIPO","This session will explore real-world experiences in implementing AI in health systems, highlighting key governance and regulatory challenges alongside enabling factors such as data systems, partnerships, leadership, and financing. Drawing on country insights and aligned with global AI governance and normative processes, the session will advance dialogue on ethical, equitable, and people-centred deployment. It will conclude with shared priorities and practical pathways for partnership and investment to support responsible scale-up.",World Health Organization
149,Global AI Assurance and Standards: From Principles to Proof,17 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 15,"Bindya S RaJ, Infosys; Carsten Maple, University of Warwick & Alan Turing Institute; Natasha Crampton, Microsoft; Raj Bharat Patel, Holistic AI; Sue Daley OBE, techUK; Tim Mcgarr, BSI","This session brings together leaders from policy, industry, and certification bodies to explore how AI assurance is shaping governance and practice. It will spotlight key practical standards, real-world adoption across sectors, India's strategic role in quality infrastructure, and UK-India collaboration on standards, skills, and market access to build trust and responsible AI globally.",techUK
150,From AI Innovation to Nation-Building,17 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L2 Audi 1,"2. Prof. S Ravi Kiran, BharatGen Technology Foundation; Dr. Amol Gite, BharatGen Technology Foundation; Mr. Anirudh Srinivasan, BharatGen Technology Foundation; Prof. Ganesh Ramakrishnan, IIT Bombay",This session will include a leadership talk and keynote addresses on AI for economic development and social good.,"BharatGen, TIH for IoT & IoE, IIT Bombay."
151,Navigating the AI Regulatory Landscape: A Cross-Compliance Framework for Safety and Governance,17 Feb 2026,11:30 AM - 12:30 PM,Sushma Swaraj Bhavan,Nalanda Banquet,"Aarthi Sivanandha, AZB & Partners; Dr. Lalit Patil, International Neurodegenerative Disorders Research Center (INDRC)  ""; Dr. Mohammed Misbahuddin, C-DAC Bangalore; Dr. S. D. Sudarsan, C-DAC Bangalore; Dr. Vit Dockal, International Development Research Centre (INDRC), Czech Republic; Mr. Ramesh Naidu Laveti, C-DAC Bangalore","This session examines the evolving AI regulatory landscape through a cross-compliance lens, comparing various national frameworks for data governance, safety, and accountability. It highlights practical approaches to implementing trustworthy, safe AI, drawing on large-scale project experience. The discussion aims to support policymakers, practitioners, and institutions in aligning innovation with regulatory compliance, ethical standards, and responsible AI governance across jurisdictions.",Indo-Pacific European Hub for Digital Partnerships (INPACE)
152,Beyond the Cloud: The Sovereign AI Moment,17 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 6,"Bernard Nguyen, Nvidia; Mr.Abhinav Aggarwal, Fluid AI; Mr.Balasubramanian V, NABARD; Mr.Raghav Aggarwal, Fluid AI; Mr.Ritwik Rath, HPCL","While much of the world defaults to cloud-hosted AI, a growing cohort of  enterprises and public sector institutions are charting a different course — deploying powerful AI models on their own infrastructure, on their own terms.",Fluid AI
